id,player_fifa_api_id,player_api_id,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
1,102,78678,91,Left,Low,Low,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,20,35,24,6,11,15,14,8
2,103,78679,91,Right,Medium,Medium,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,43,24,18,13,11,5,5,7
3,104,78680,91,Right,High,Medium,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,35,42,19,15,6,12,8,10
4,105,78681,91,Right,High,High,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83,68,65,53,15,13,5,10,13
5,106,78682,95,Right,High,Low,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,26,34,32,13,5,7,11,6
6,107,78683,90,Left,High,Medium,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86,38,43,41,14,14,9,11,14
7,108,78684,91,Left,Medium,Medium,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70,17,23,15,13,44,27,20,18,16,84,89,75,89,90
8,109,78685,90,Right,Medium,Medium,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,17,10,11,87,88,91,91,88
9,110,78686,90,Right,High,Low,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,24,32,24,7,11,15,14,11
10,111,78687,90,Right,Medium,High,53,52,87,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62,92,92,86,13,10,13,11,11
11,112,78688,89,Right,High,High,80,93,85,84,87,83,82,65,85,84,67,69,68,92,71,92,79,83,83,86,80,44,94,87,92,50,36,38,8,10,11,14,11
12,113,78689,89,Right,High,Medium,84,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52,81,63,37,86,89,91,35,32,29,9,9,15,15,11
13,114,78690,89,Right,High,Medium,83,91,68,84,79,87,85,74,74,84,85,90,85,91,76,88,60,88,64,89,62,39,91,84,73,47,34,33,11,13,13,6,10
14,115,78691,89,Right,Medium,High,58,64,79,84,62,67,62,74,83,78,60,66,61,87,66,88,85,90,90,81,91,88,75,75,66,87,88,87,13,14,16,12,12
15,116,78692,91,Right,Medium,Medium,13,11,15,43,13,12,13,14,40,30,43,58,65,87,49,59,77,41,78,12,34,21,11,65,11,27,12,18,86,90,78,87,89
16,117,78693,89,Right,High,Medium,78,86,84,84,75,88,77,64,71,86,91,90,93,91,88,83,87,85,72,78,75,35,90,84,75,42,42,38,10,10,15,7,14
17,118,78694,91,Left,Medium,Medium,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,29,15,8,87,82,93,88,88
18,119,78695,90,Right,High,Medium,91,68,72,87,69,82,85,69,90,85,77,60,84,88,84,78,79,94,68,83,89,84,80,85,44,85,85,78,8,15,7,15,15
19,120,78696,90,Right,Medium,Medium,17,13,29,60,20,27,19,18,58,40,58,49,40,87,37,64,52,32,78,14,27,11,13,66,23,15,19,16,86,85,85,90,89
20,121,78697,89,Right,Medium,High,68,65,54,82,56,78,49,49,76,81,77,68,78,93,92,71,75,95,72,65,93,91,72,77,54,90,93,86,15,12,10,7,10
21,122,78698,91,Right,Medium,High,54,29,87,82,32,64,46,48,76,74,57,67,60,89,56,74,78,83,89,26,92,85,39,51,45,90,89,85,7,8,13,7,12
22,123,78699,94,Left,High,Medium,47,94,79,74,88,78,77,62,53,82,82,94,76,88,72,94,74,81,93,87,85,43,89,74,76,44,53,29,7,14,13,11,7
23,124,78700,92,Right,Medium,Medium,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,20,14,16,90,83,79,85,89
